StockSymbol,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume
AMZN,2024-02-14,977.87,1944.11,1080.19,343.42,858690
NVDA,2024-05-31,998.26,1166.97,1227.92,1410.66,378216
GOOGL,2024-05-16,845.59,634.67,491.81,1752.22,619005
META,2024-10-08,906.63,411.3,936.91,1187.8,702292
NVDA,2024-06-01,78.07,1225.42,381.35,1205.5,48827
TSLA,2024-08-10,217.66,1680.74,890.48,300.72,317137
AMZN,2024-01-29,129.95,1060.85,1768.96,1161.26,101790
TSLA,2024-01-10,778.89,842.14,504.57,1342.38,672757
MSFT,2024-06-02,1952.02,127.63,1539.11,1147.03,981743
GOOGL,2024-09-16,833.12,612.69,356.89,1148.84,665171
MSFT,2024-01-12,488.69,1286.77,131.82,172.82,252228
TSLA,2024-11-12,829.82,320.4,1466.83,1085.63,908340
AAPL,2024-02-07,766.68,1303.1,1746.88,1428.63,202002
MSFT,2023-12-25,885.49,665.84,989.04,1174.32,897099
NFLX,2024-03-28,665.33,820.47,282.89,1386.02,910635
AAPL,2024-08-07,494.64,1026.65,279.36,117.38,997175
MSFT,2024-06-20,1990.8,1616.93,799.21,821.14,803832
META,2024-09-30,1213.63,1966.27,572.69,1501.09,746984
GOOGL,2024-01-14,1163.4,1827.28,1673.91,1930.95,465492
AMZN,2024-03-26,65.1,375.34,1210.28,1898.71,478365
META,2024-10-03,582.43,1055.71,1470.58,527.24,782995
META,2024-10-11,928.89,1751.92,1517.86,997.28,722034
MSFT,2024-10-31,578.67,1199.3,1662.64,1305.18,169723
NVDA,2024-06-16,98.36,1891.52,588.69,1025.92,623365
AAPL,2024-11-23,1016.34,1993.6,794.71,1182.88,81397
TSLA,2024-11-19,1840.62,846.17,187.77,931.98,978299
MSFT,2024-09-04,1442.33,2021.82,425.49,1434.08,146316
GOOGL,2024-08-23,1339.2,1512.67,1667.51,1217.13,112044
MSFT,2024-09-03,126.43,938.43,34.04,345.24,682280
AAPL,2024-02-16,1902.63,1391.44,1011.35,1884.45,678428
NFLX,2024-08-17,1474.75,1821.24,314.24,1045.87,91823
META,2023-12-31,935.93,1089.19,1562.59,1025.78,855404
GOOGL,2024-12-06,1659.85,1398.12,948.34,92.52,641730
MSFT,2024-11-10,1400.01,1858.68,1100.85,1568.93,975511
META,2024-11-12,662.25,192.58,1391.45,1613.57,970918
AMZN,2024-11-25,1495.03,1179.18,1100.55,900.79,386606
TSLA,2024-05-02,378.34,1328.75,498.91,969.2,770731
AAPL,2024-02-27,1405.37,1020.74,1598.81,86.73,772665
NVDA,2024-12-02,1485.3,696.11,918.0,866.62,351750
NFLX,2024-09-14,334.62,1033.26,241.86,824.56,39706
NVDA,2024-02-19,1633.21,857.64,1669.57,1666.88,337919
META,2024-10-12,188.67,1007.06,385.87,266.28,568371
AAPL,2023-12-19,947.11,543.22,1049.76,1066.41,67215
AAPL,2024-08-22,144.01,1109.96,1822.97,1088.1,405086
NVDA,2024-06-27,1986.36,1349.61,145.81,1498.57,857044
NFLX,2024-12-13,675.67,740.65,1333.48,722.05,36516
TSLA,2024-06-21,749.27,1238.4,1459.82,794.58,474118
TSLA,2024-06-19,1549.98,961.25,1522.81,1539.99,975651
META,2024-11-23,1772.6,882.05,223.9,1090.94,735072
AMZN,2024-06-20,652.82,959.38,222.12,1952.89,294442
TSLA,2024-06-15,939.2,1495.44,1990.49,336.63,820150
GOOGL,2024-07-21,780.11,751.02,940.28,1699.81,134828
NFLX,2023-12-20,280.65,219.15,1246.29,106.54,748667
MSFT,2024-08-13,1149.22,706.79,1626.61,1894.36,78448
META,2024-06-10,71.54,1901.61,960.89,512.86,31625
NFLX,2024-03-14,1358.53,158.99,1210.85,730.25,13081
AAPL,2024-03-16,1577.85,1567.14,376.77,769.67,703581
META,2024-04-17,1195.69,345.62,1754.63,930.94,382875
NFLX,2024-04-15,1717.83,631.93,1084.07,1973.67,577135
AAPL,2024-10-16,585.58,436.85,461.64,582.97,836748
NVDA,2024-04-14,865.68,1733.44,1580.11,647.4,376438
NVDA,2024-08-08,1747.49,1293.1,153.26,1759.96,776580
NFLX,2024-11-12,416.58,1031.96,1817.5,1456.78,551531
NFLX,2024-09-15,1743.2,1221.4,1476.33,575.13,96715
NFLX,2024-01-16,473.12,957.91,576.46,1288.25,351011
AMZN,2024-11-28,1393.49,1811.9,78.74,430.63,87707
META,2024-07-27,503.07,219.65,1445.6,1458.16,228832
META,2023-12-16,893.19,1375.23,80.32,1751.66,192127
TSLA,2024-05-01,1372.92,1819.58,238.45,362.25,24774
AMZN,2024-01-05,1168.3,1974.47,1654.06,71.57,673816
AAPL,2024-06-20,1357.3,1097.08,923.99,1544.27,237783
TSLA,2023-12-17,1158.39,254.36,1920.03,1166.66,77236
META,2024-10-02,1606.45,1684.78,1108.92,703.96,768818
NFLX,2024-10-03,795.88,1100.97,349.52,531.21,30052
AMZN,2024-01-13,1605.05,1666.47,1215.63,1690.44,667585
AAPL,2024-04-03,868.26,897.63,1274.48,713.03,722872
AAPL,2024-03-05,712.43,857.6,1450.81,1459.31,181173
NFLX,2024-11-18,1930.46,303.4,1455.86,950.41,117543
NFLX,2024-07-06,521.38,331.72,631.62,854.13,321418
NVDA,2024-03-28,632.45,726.78,242.33,1125.09,738971
GOOGL,2024-03-19,669.67,809.86,437.84,1045.7,600003
NVDA,2024-10-14,912.61,1819.6,439.64,872.66,480631
GOOGL,2024-08-23,1853.95,1134.15,532.72,1293.43,347121
META,2024-08-15,1106.01,524.01,1717.22,1539.32,200883
NVDA,2024-03-01,1590.42,1204.47,1975.16,1615.44,86739
MSFT,2024-07-09,826.67,1775.5,1670.69,1943.61,100988
AMZN,2024-05-07,1866.69,2041.45,325.89,134.06,739326
GOOGL,2024-05-10,1425.49,1566.82,436.75,1587.58,886848
MSFT,2024-03-18,759.06,712.28,1583.41,783.28,467736
AAPL,2024-01-13,1360.67,1110.04,357.69,1372.05,57780
NFLX,2024-10-18,1953.63,1061.52,1796.98,1510.34,879977
AAPL,2024-05-08,379.72,1240.48,463.29,1707.97,456746
MSFT,2024-08-21,384.67,1635.68,407.94,1374.48,91501
GOOGL,2024-06-11,1833.17,152.43,1657.33,626.0,764021
AMZN,2024-02-06,208.34,1205.65,922.49,801.2,61634
MSFT,2024-01-17,1932.85,1604.16,895.48,263.12,758783
AAPL,2024-07-17,1221.56,1717.67,1953.29,878.46,72482
NFLX,2024-04-27,1296.91,1052.52,1190.08,818.68,455180
AMZN,2024-03-08,873.56,304.05,848.89,2002.6,75108
NVDA,2024-09-03,371.4,360.02,66.93,1865.26,379804
MSFT,2024-07-17,193.38,1824.78,853.37,1424.25,661220
NVDA,2024-05-28,1914.52,906.59,1075.65,794.38,996726
NVDA,2024-08-07,1053.31,890.03,1503.35,1375.9,980832
NFLX,2024-01-09,1939.01,735.31,1733.41,554.2,409838
AAPL,2024-09-26,613.07,965.06,310.64,715.53,492579
GOOGL,2024-04-26,974.95,1880.42,303.46,750.85,927658
MSFT,2024-03-07,1120.12,1490.98,1233.67,1034.76,840936
TSLA,2024-06-27,901.54,1357.65,1224.24,947.32,586408
AAPL,2024-06-05,1917.12,1742.98,1611.05,887.84,89205
TSLA,2024-08-25,546.27,1222.58,1887.15,1633.22,865948
MSFT,2024-09-22,73.66,1463.15,1390.26,1774.13,46317
NFLX,2024-04-19,630.67,1192.96,717.13,1487.94,150813
MSFT,2024-12-05,1750.77,1652.31,694.37,618.13,419094
AMZN,2024-07-31,1917.97,1341.86,540.27,467.59,300565
NFLX,2024-10-29,1574.34,864.23,606.56,804.62,981918
AAPL,2024-04-23,1562.78,1444.32,1538.35,815.93,527237
NFLX,2024-06-26,1772.16,1447.93,1117.64,646.87,341334
AMZN,2024-09-24,1567.65,614.31,1839.16,725.46,58125
META,2024-11-07,1181.89,1401.97,763.69,1724.78,146949
GOOGL,2024-01-02,1484.59,253.3,1411.86,234.55,711230
META,2024-03-24,393.91,1266.67,1211.91,1898.35,387590
NVDA,2024-07-24,1712.9,540.25,1797.16,198.11,181973
MSFT,2024-09-05,1073.01,764.37,1493.03,1419.37,788576
AMZN,2024-06-15,1558.88,1519.1,276.29,1213.65,753418
GOOGL,2024-06-04,411.22,957.93,502.55,326.95,817980
TSLA,2024-09-07,855.94,1334.07,1344.74,169.17,282731
NFLX,2023-12-17,1082.71,113.73,1557.51,1675.75,189854
AMZN,2024-04-07,1487.52,710.03,719.06,1668.22,379824
META,2024-10-10,785.17,1019.08,999.13,188.46,462461
NFLX,2023-12-24,1767.03,1109.86,1541.81,156.64,757089
TSLA,2024-10-06,225.79,1965.35,1793.15,190.42,681417
MSFT,2024-03-22,392.69,1604.88,1310.79,1742.95,16957
NFLX,2024-09-22,113.17,1710.69,1059.19,1368.22,250245
META,2024-08-31,783.17,1480.16,1415.74,1633.87,283233
META,2024-10-31,664.77,1702.62,163.4,213.2,481457
AAPL,2024-05-23,1838.8,826.34,130.03,1056.23,782632
AAPL,2024-11-01,666.04,1699.0,215.7,1891.2,952778
NVDA,2024-12-14,81.81,1859.14,1326.95,252.42,247458
TSLA,2024-11-24,295.38,1420.53,641.32,560.14,891858
NFLX,2024-05-19,1738.57,91.36,655.15,330.56,714975
AAPL,2024-07-08,1218.08,1244.19,1946.83,1968.7,741399
TSLA,2024-06-06,422.69,1121.35,1982.85,1122.8,582383
META,2024-07-14,1659.14,242.88,1914.51,643.29,930341
NFLX,2024-09-22,1343.38,894.35,1912.1,1446.0,13814
AMZN,2024-06-23,1422.03,1908.78,112.19,408.74,868405
GOOGL,2023-12-31,432.09,714.89,706.22,890.93,622618
AMZN,2024-03-21,1922.26,1131.56,1668.32,679.73,927081
NVDA,2024-12-01,1991.07,121.38,1737.52,1693.12,373347
META,2024-06-12,935.41,1052.9,1876.65,879.03,707021
META,2024-11-03,1920.53,1044.71,1413.42,1813.42,207389
NVDA,2024-07-18,426.41,1663.48,209.98,141.18,126052
GOOGL,2024-06-27,1222.63,1963.85,316.27,1564.76,972577
AAPL,2024-03-25,1874.3,1572.76,44.86,677.74,185272
AAPL,2024-08-31,1070.07,632.64,1656.06,827.64,122395
NVDA,2023-12-28,1630.92,328.1,1585.48,1737.86,541768
AMZN,2024-02-02,1836.66,449.33,1064.22,193.36,28614
GOOGL,2024-02-12,1202.71,1014.25,1212.35,1266.81,670108
NVDA,2024-06-01,625.35,1511.57,350.82,159.52,432584
AAPL,2024-01-25,1651.79,1388.44,1809.34,1996.09,756331
GOOGL,2024-07-27,1541.85,1153.46,1771.01,1976.99,257007
NVDA,2024-02-07,1512.29,570.66,1539.84,595.16,24834
AMZN,2024-02-13,266.31,1749.07,881.71,1875.98,881432
NFLX,2024-10-15,1392.61,1023.5,1404.4,711.89,367563
NVDA,2024-11-01,872.29,549.84,883.73,683.13,985974
AAPL,2024-05-08,955.27,1265.72,737.22,682.33,833106
META,2024-10-22,1429.33,1946.28,499.78,344.6,269626
NVDA,2024-02-03,385.12,394.61,1189.16,828.01,215770
META,2024-02-09,1965.75,1930.51,339.2,326.88,616649
META,2024-02-03,690.24,211.32,396.13,1594.9,373932
META,2024-01-30,604.3,1183.46,1511.67,1428.07,992581
AAPL,2024-04-28,192.57,759.54,1134.83,1382.03,645045
META,2024-04-09,970.11,579.44,1721.41,1766.47,693171
AAPL,2024-01-08,1781.98,113.95,1922.21,169.24,135352
META,2024-10-22,852.33,1672.01,1914.79,1039.28,884434
TSLA,2024-07-30,657.63,320.39,883.99,1975.82,72177
AMZN,2024-08-02,1749.71,1382.38,1497.71,755.83,729084
GOOGL,2024-08-25,1923.3,706.11,206.08,108.03,80568
MSFT,2024-03-29,1813.35,1408.6,440.42,1421.24,584567
AMZN,2024-04-29,281.34,1240.48,130.78,102.88,691688
GOOGL,2024-06-12,1215.23,306.25,604.81,750.51,534309
NFLX,2024-03-25,850.02,1513.41,137.01,1767.0,879030
META,2024-06-05,1708.4,1968.0,1830.33,1216.34,579275
NFLX,2024-01-05,1992.79,1745.25,989.72,1208.22,244441
AAPL,2024-03-18,1373.64,1315.96,154.0,1587.02,179831
TSLA,2023-12-21,875.63,1518.81,976.03,1441.4,85593
AAPL,2024-08-07,1076.54,339.76,1348.79,1699.19,591410
GOOGL,2024-06-05,416.95,872.27,587.99,1437.27,569042
NFLX,2024-01-12,69.56,1368.95,1844.86,2007.0,732744
AAPL,2024-06-27,883.89,1743.82,1641.3,487.67,218687
NFLX,2024-05-09,413.21,1703.38,1076.87,1204.91,757078
AMZN,2024-09-06,547.72,221.83,1622.97,1542.67,915161
AMZN,2024-11-01,1641.98,1525.92,143.86,1493.01,576216
NFLX,2024-09-26,633.01,286.71,1656.51,399.98,664802
GOOGL,2023-12-20,1913.55,1883.04,1565.95,202.56,507902
MSFT,2024-08-03,1179.92,272.03,201.12,773.27,893643
TSLA,2024-08-22,1308.05,678.06,453.93,1607.68,424526
MSFT,2024-01-18,561.54,832.35,1775.15,190.29,877914
AMZN,2024-11-17,1003.02,1510.76,459.94,389.33,317039
MSFT,2024-03-13,875.25,1544.3,1337.52,1044.33,917934
MSFT,2024-08-05,1860.7,563.14,292.39,1807.69,272166
NFLX,2024-01-14,522.7,1521.78,74.37,1404.65,298585
MSFT,2024-06-20,520.89,242.63,708.1,1485.75,137473
TSLA,2024-10-21,233.59,410.61,1507.83,462.76,137188
GOOGL,2024-01-08,1165.57,1459.86,1285.28,1807.77,498384
MSFT,2024-05-16,320.32,319.85,240.37,1321.68,385664
TSLA,2024-09-13,1362.51,586.22,91.2,1375.16,529863
AAPL,2024-10-25,1260.29,1466.97,1294.67,892.4,393410
TSLA,2024-04-08,1723.86,1662.39,1360.86,1829.95,815182
MSFT,2023-12-16,1532.86,919.42,617.67,339.12,970428
MSFT,2024-03-18,1620.93,386.34,252.8,212.54,759674
GOOGL,2024-07-05,1880.52,212.72,65.19,986.11,707300
MSFT,2024-11-28,772.22,1564.93,859.55,738.69,830298
NVDA,2024-08-12,1002.47,303.54,881.96,950.9,629486
TSLA,2024-04-09,1166.58,1336.78,337.93,476.07,997369
NVDA,2023-12-29,1176.57,251.32,427.59,94.17,611780
TSLA,2024-06-15,406.57,1790.59,1780.72,500.15,377017
MSFT,2024-02-16,320.35,703.72,1954.18,325.12,65370
GOOGL,2024-07-31,1999.32,1957.17,1573.57,1153.64,940584
NFLX,2024-10-07,526.98,1700.18,508.21,1813.16,755062
MSFT,2024-05-20,666.12,979.6,1597.14,1988.81,15678
GOOGL,2024-01-23,1178.84,444.47,1342.66,1753.16,779042
AAPL,2024-11-01,1268.23,1510.53,104.06,377.41,635232
META,2024-07-09,498.58,1528.87,104.54,1141.19,165588
GOOGL,2024-06-13,699.32,649.77,1356.78,861.68,559026
NVDA,2024-03-07,147.61,222.44,1930.77,1206.75,759400
TSLA,2024-05-30,1675.57,1888.76,777.62,1128.66,681009
AMZN,2024-06-10,292.06,1243.78,1537.57,433.04,75974
NVDA,2024-07-20,523.52,638.45,773.3,1458.13,509972
GOOGL,2024-12-01,1644.29,350.24,1287.59,234.26,458380
GOOGL,2024-12-01,1367.28,972.95,1436.09,1879.55,288124
META,2024-01-11,1842.73,998.98,1847.37,443.84,340788
NFLX,2024-06-16,349.91,1316.04,578.04,989.04,971645
META,2024-11-10,1335.11,240.7,1709.87,1731.68,248795
NVDA,2024-11-03,632.11,1568.38,1285.86,497.04,469519
GOOGL,2024-05-05,729.32,225.05,447.81,311.33,122580
TSLA,2024-02-14,536.4,1525.21,608.98,782.66,24333
AMZN,2024-11-21,1786.92,1438.95,976.2,1556.93,49068
AAPL,2024-07-06,1289.79,547.05,557.63,1943.49,782511
META,2024-08-24,1293.12,1515.84,230.96,863.64,190052
NVDA,2024-10-01,901.64,1649.44,1542.89,336.7,256653
GOOGL,2024-01-22,1482.36,239.34,337.95,1073.75,427255
TSLA,2024-08-24,1188.78,1906.87,196.57,1172.03,514288
TSLA,2024-01-01,1599.54,1865.85,358.89,1263.94,323414
AAPL,2024-01-04,883.86,295.36,1013.69,1912.0,889012
TSLA,2024-01-16,1373.88,1704.58,1667.48,827.14,213416
META,2024-04-18,1640.43,1018.24,1579.7,542.42,91793
AMZN,2024-08-10,1737.92,161.98,177.65,1091.96,281570
NVDA,2024-08-16,1232.75,1148.38,1312.78,478.26,338908
GOOGL,2024-11-29,1075.13,1172.45,1806.65,656.13,939634
GOOGL,2023-12-27,1396.31,1603.96,1158.6,75.75,499263
NFLX,2024-12-02,705.97,398.58,373.31,911.74,920999
META,2024-06-19,1183.05,1572.77,258.4,742.74,104104
TSLA,2024-07-24,469.02,1083.41,541.3,209.36,360340
AMZN,2024-02-23,806.49,84.04,1455.87,1749.75,439485
AAPL,2024-03-27,704.18,1625.66,1498.1,274.38,783175
GOOGL,2024-01-21,1604.21,504.13,1742.08,367.0,101766
NVDA,2024-10-15,1035.53,1943.47,360.11,690.21,149129
NFLX,2024-12-06,267.9,1329.01,1362.69,534.47,704552
NVDA,2024-11-30,877.39,1570.02,863.59,782.27,253289
MSFT,2024-11-28,1346.48,1929.17,886.82,1299.48,276817
AAPL,2024-10-02,1631.17,1710.06,652.75,1501.91,465741
MSFT,2024-04-23,1453.96,1180.43,1862.92,1636.74,877941
MSFT,2024-03-15,61.1,479.25,1091.23,1565.17,14938
TSLA,2024-09-17,1836.67,258.64,1962.82,1839.17,501608
NVDA,2024-01-01,894.56,1195.09,1873.42,1268.8,740177
MSFT,2024-03-30,661.0,542.94,1799.11,335.58,225774
TSLA,2024-06-25,282.71,108.51,1813.51,518.11,487949
MSFT,2024-12-01,545.08,1137.37,758.86,108.53,18839
TSLA,2024-10-13,443.97,202.75,1788.88,336.62,283929
AMZN,2024-01-12,297.82,1318.35,780.18,593.45,299301
AAPL,2024-02-29,275.21,1552.62,1609.41,1738.84,76618
MSFT,2024-07-13,1635.42,1006.5,386.56,415.57,463841
NVDA,2024-07-16,394.05,1807.23,1240.26,620.23,878804
MSFT,2024-02-04,1983.75,816.71,1373.93,1681.16,193462
GOOGL,2024-07-05,1866.08,635.54,1866.1,1677.86,928064
META,2024-01-11,202.96,1321.98,749.3,957.53,77289
TSLA,2024-11-06,790.31,1047.1,1296.92,1649.86,994450
TSLA,2024-09-13,990.4,533.44,351.56,1187.37,242269
AAPL,2024-01-02,1594.27,879.87,1130.33,491.28,684762
META,2023-12-30,1313.77,1823.01,611.59,404.3,968110
AAPL,2024-08-11,399.41,1081.69,569.94,360.49,300401
NFLX,2024-02-03,1184.96,1689.47,190.38,512.39,477595
NVDA,2024-09-14,281.32,1882.49,920.44,1742.58,27586
NFLX,2024-09-11,1231.19,1248.44,795.02,1463.4,638286
TSLA,2024-09-01,1432.25,1544.62,634.74,1964.02,420182
NFLX,2024-03-09,1103.8,1837.03,869.75,1374.59,83923
NVDA,2024-01-07,1182.02,523.66,684.69,965.85,441439
AMZN,2024-11-15,1154.61,547.45,663.63,540.01,523435
META,2024-05-09,719.9,1628.68,858.21,499.19,625251
TSLA,2024-11-15,1229.23,1637.48,1014.96,1891.61,61234
GOOGL,2024-04-03,274.34,1162.93,1289.72,1577.28,802939
TSLA,2024-04-19,394.76,1640.32,521.77,1772.08,112242
GOOGL,2024-06-16,1060.04,1616.25,958.66,1485.26,276175
NFLX,2024-03-14,168.42,856.32,73.96,1787.99,923292
AAPL,2024-09-25,1600.44,1189.47,1403.47,784.3,296953
AMZN,2024-09-27,1835.76,1061.88,1486.19,1146.39,14107
NVDA,2024-03-08,1117.29,1382.06,708.5,509.26,534691
TSLA,2024-05-22,130.43,1784.18,1030.65,896.58,356637
AAPL,2024-10-18,786.61,465.81,981.86,47.93,26026
MSFT,2024-09-02,1639.1,644.41,599.47,1823.9,213094
NFLX,2024-01-16,807.43,604.51,1108.39,660.18,835957
NVDA,2024-03-18,1977.94,188.8,1624.65,1745.2,487058
TSLA,2024-04-27,1746.34,739.89,789.3,387.93,958568
META,2024-07-27,1833.43,1752.89,759.46,272.93,137826
AMZN,2024-05-12,286.97,827.15,1675.81,940.98,99451
TSLA,2024-02-16,171.02,972.85,591.32,1895.79,241870
TSLA,2024-07-21,1751.7,1542.93,140.15,1531.29,281988
GOOGL,2023-12-15,1191.37,393.68,1872.98,941.96,214542
AMZN,2024-03-01,363.66,776.66,900.96,420.89,977015
GOOGL,2024-06-21,788.91,359.54,208.28,396.66,701149
META,2024-02-07,1371.29,1102.11,451.46,160.21,552069
AMZN,2024-10-08,797.35,1155.39,695.69,166.31,536490
NVDA,2024-03-16,1195.26,1782.61,449.04,779.07,75028
TSLA,2024-01-22,163.15,1297.77,52.44,1578.33,543323
GOOGL,2024-01-15,917.56,1582.36,415.07,1075.28,946557
AMZN,2024-04-22,509.61,180.57,659.59,1971.91,758750
AAPL,2024-08-18,116.79,1024.2,414.55,1661.14,948631
NVDA,2024-02-06,358.88,1780.9,1007.1,485.57,938467
TSLA,2024-11-30,1431.12,553.62,1615.86,639.14,812328
META,2023-12-22,1725.85,1156.05,1697.35,444.73,287108
GOOGL,2024-07-07,1770.56,430.25,210.43,1644.79,675660
GOOGL,2024-06-24,340.49,1913.49,356.39,1234.59,720116
AAPL,2024-08-19,984.13,1670.69,554.96,1588.55,113602
META,2024-06-28,911.59,1039.53,267.9,1677.03,132842
NFLX,2024-02-06,1050.52,1663.03,136.21,1184.12,487129
AAPL,2023-12-18,415.95,1510.99,1340.65,118.48,75400
NVDA,2024-09-05,324.85,1652.62,401.86,1664.74,335796
GOOGL,2024-06-19,71.75,376.34,727.22,337.08,470431
NFLX,2024-04-24,1017.9,1614.3,1854.85,748.76,430631
NVDA,2023-12-31,1751.54,1078.21,1782.45,914.87,968055
AAPL,2024-01-22,1920.93,1542.82,979.7,448.94,736162
MSFT,2024-06-22,826.47,913.83,349.06,1918.83,568749
NFLX,2024-04-09,1223.62,1242.44,832.35,1641.31,503807
NFLX,2024-04-29,551.71,544.29,1855.94,1090.41,756709
AMZN,2024-05-21,1019.36,625.11,333.93,1507.22,322247
MSFT,2024-03-26,1440.95,321.64,1580.44,1366.87,182555
AAPL,2024-08-28,1151.62,895.63,1721.04,1877.4,761344
GOOGL,2024-04-24,50.85,653.04,1484.38,1966.27,342611
MSFT,2024-10-12,1058.44,84.72,499.04,787.04,144926
GOOGL,2024-09-29,341.72,1739.43,701.45,1006.95,569695
NVDA,2024-06-07,1109.18,1013.83,1515.15,1519.74,562243
NFLX,2024-11-08,929.71,939.61,275.7,149.39,446950
META,2024-12-02,1177.11,950.26,1822.38,1871.78,624566
AMZN,2024-03-15,102.0,675.73,805.56,734.22,726864
AMZN,2024-06-30,1795.16,1471.93,1232.94,1333.14,376079
GOOGL,2024-05-16,1278.99,354.88,834.14,1624.94,249385
AAPL,2024-08-16,1922.57,131.17,1253.28,143.08,951323
AAPL,2024-04-26,716.33,156.83,1320.22,1294.04,292085
NFLX,2024-05-26,952.82,1436.94,450.91,1620.86,913470
MSFT,2024-09-08,683.96,908.56,1476.41,1257.39,542856
TSLA,2024-08-21,702.27,1640.81,1185.28,492.68,329069
AAPL,2023-12-17,292.83,1312.78,1714.38,810.78,602277
AMZN,2024-07-29,1784.05,1480.25,286.55,83.98,899034
TSLA,2024-06-25,1990.54,1138.38,86.58,1151.06,311415
NFLX,2024-02-22,208.55,264.69,341.3,353.91,295656
AMZN,2024-12-08,1749.16,99.79,150.76,1577.16,89018
NVDA,2024-08-12,1922.67,150.19,687.77,1371.7,717802
NVDA,2024-08-23,192.96,966.13,231.88,912.55,584348
MSFT,2024-07-24,547.24,787.19,496.27,1418.21,411792
NVDA,2024-10-18,1555.45,1756.34,693.54,1443.49,295392
MSFT,2024-04-26,1643.21,1666.61,1346.73,704.26,565686
AAPL,2023-12-21,1850.37,1204.48,725.1,487.55,391391
NVDA,2024-01-21,815.45,652.38,246.9,354.75,539611
NVDA,2024-06-25,1120.29,931.58,1792.91,1230.25,449256
AAPL,2024-09-21,491.14,1301.08,1168.41,782.04,15639
NFLX,2024-05-16,1401.68,1049.64,150.75,262.65,350815
TSLA,2024-12-05,622.02,1867.38,247.01,543.29,335405
AMZN,2024-07-02,1945.09,107.46,458.11,250.07,764167
TSLA,2024-06-03,1910.88,1887.97,926.91,1065.27,167967
AAPL,2024-07-31,1681.69,1313.01,971.38,1275.42,561347
MSFT,2024-06-12,854.12,713.25,1208.44,1113.33,483852
MSFT,2024-02-09,1243.42,122.82,576.72,1307.94,412190
AAPL,2024-08-10,163.79,1347.72,1902.43,984.28,252345
META,2024-04-09,1412.24,647.18,880.56,1861.24,361453
TSLA,2024-06-06,1975.32,707.04,626.92,1667.55,147448
NVDA,2024-06-03,769.98,588.66,1264.7,1328.75,515511
NVDA,2024-06-18,1059.86,1227.51,1731.24,1068.79,334416
AMZN,2024-06-16,228.77,1094.0,149.48,886.25,387794
MSFT,2024-07-21,1816.08,2029.72,848.78,207.86,339087
MSFT,2024-07-18,481.12,543.13,1768.07,1908.4,176575
GOOGL,2024-09-05,1993.33,205.16,1161.51,1568.35,436218
AMZN,2024-07-16,162.1,628.51,1106.28,1494.51,562823
MSFT,2024-02-05,1475.61,1997.36,830.23,1932.4,888224
AMZN,2024-10-19,334.44,970.98,1282.85,372.61,777894
GOOGL,2024-04-11,687.15,759.4,1015.33,113.98,371009
GOOGL,2024-05-23,192.58,246.43,1252.0,190.85,638717
AAPL,2024-04-05,76.83,1985.54,1263.59,300.58,965064
NVDA,2024-06-04,558.84,1358.5,922.82,503.7,124600
AAPL,2024-01-11,799.95,1618.96,861.93,328.27,809019
TSLA,2024-02-17,376.71,744.57,1802.82,1977.73,901745
GOOGL,2024-01-03,1885.5,1802.57,865.44,1284.98,683962
AAPL,2024-10-12,1579.26,668.03,1507.23,1932.01,787692
META,2024-02-19,1343.65,559.34,1858.95,1156.62,295784
GOOGL,2024-04-01,731.81,403.84,926.7,1156.8,851632
AAPL,2024-09-19,947.44,856.58,233.95,523.22,171140
META,2024-07-04,1895.08,1328.77,1619.01,898.42,69924
META,2024-06-12,930.03,1550.04,1018.32,312.02,323349
AMZN,2024-05-31,86.77,402.69,1407.22,1938.78,794224
MSFT,2024-07-06,1568.46,1782.12,1446.21,215.85,38012
META,2024-11-03,109.15,661.59,1923.44,1523.0,992286
AMZN,2024-01-09,565.32,437.1,584.37,1543.46,648705
NFLX,2024-11-17,1669.7,608.45,1508.63,589.1,260919
TSLA,2024-08-18,1660.37,971.97,1661.83,1392.0,796267
MSFT,2024-11-30,1887.22,1020.48,1270.02,568.57,28745
NFLX,2024-02-13,1421.29,1852.59,1508.65,556.97,976797
NFLX,2024-06-26,800.06,1537.67,625.84,892.41,423863
MSFT,2024-12-05,930.22,822.33,750.49,223.47,384586
AAPL,2024-03-29,526.52,1751.96,1283.45,87.75,172730
NFLX,2024-05-30,852.08,1559.09,806.02,731.43,948112
META,2024-07-24,1434.16,1779.04,817.72,1861.54,983992
AAPL,2024-09-14,1528.25,1983.1,56.86,1282.77,779912
META,2024-09-03,237.38,609.92,431.03,386.16,735312
AAPL,2024-09-12,538.8,925.12,830.3,1505.66,302472
TSLA,2024-06-02,506.51,929.59,537.84,183.73,688236
META,2024-11-07,629.56,1638.33,1309.59,536.2,356996
AAPL,2024-11-23,900.76,1555.61,1030.99,880.32,763876
GOOGL,2024-01-09,1812.34,465.11,1982.56,1565.38,180005
AAPL,2024-10-23,1159.57,834.19,1500.68,963.12,645666
TSLA,2024-03-16,1126.28,823.56,801.35,1154.41,734521
META,2024-02-01,1558.62,1458.08,430.21,1354.37,167551
TSLA,2024-09-18,85.77,1240.35,85.23,156.51,744110
MSFT,2024-12-10,1833.96,878.69,1237.91,291.91,756346
NVDA,2024-01-25,1195.92,311.43,395.14,1671.53,82301
AMZN,2024-11-26,815.15,1884.63,1922.46,89.04,689362
AAPL,2024-10-31,1500.24,431.14,121.48,718.33,245430
